,original_sentence,translation
0,وأما المعتزلة فيفسرون الآيات هكذا قالوا: {بل لم تكونوا مؤمنين} أي كنتم مختارين الكفر على الإيمان، وما سلبنا تمكنكم من تسلط بل اخترتم أنتم الطغيان فحق علينا وعيد الله بأنا ذائقون لعذابه لا محالة لعلمه بحالنا واستحقاقنا بها العقوبة {فأغويناكم} فدعوناكم إلى الغي لأنا كنا غاوين فاردنا إغواءكم لتكونوا أمثالنا.,"As for the Mu'tazilites, they interpret the verses as follows: They said: ""{But you were not believers}"" means, ""You chose disbelief over faith."" We did not take away your ability to control, but you chose to be tyrannical. Thus, the threat of God is justified upon us, that we will surely taste His punishment, due to His knowledge of our condition and our deserving of punishment. ""{And we led you astray}"" means, ""We called you to misguidance because we were misguided, and we wanted to lead you astray so that you would be like us."""
1,وبالجملة: سلمنا أنا أضللناكم عن الهدى بمكرنا وخداعنا {فَأَغْوَيْنَاكُمْ} عن التوحيد والإيمان {إِنَّا كُنَّا} أيضاً {غَاوِينَ} [الصافات: 32] أمثالكم، فلحق بنا ما لحق بكم، إلى متى تعييروننا وتخاصموننا؟!.,"""In summary: we admit that we misled you from the right path with our cunning and deception. We led you astray from monotheism and faith. Indeed, we too were astray. So, what befell you befell us. How long will you blame us and argue with us?!"""
2,ثم قال: {فَأَغْوَيْنَاكُمْ إِنَّا كُنَّا غَاوِينَ} أي قالت الجن للإنس: فأضللناكم عن الحق بالوسوسة والاستدعاء والتزيين، أي كنا ضالين.,"Then he said: {So We led you astray, for indeed We were astray} meaning, the jinn said to the humans: ""So we misguided you from the truth through whispering, calling, and beautifying, for indeed we were misguided."""
3,{فأغويناكم}: دعوناكم إلى الغي، فكانت فيكم قابلية له فغويتم.,"""Then we led you astray"": We called you to error, and you had a predisposition to it, so you went astray."
4,{إنا كنا غاوين}: فأردنا أن تشاركونا في الغي.,"""We were misguided, so we wanted you to share in our misguidance."""
5,ثم قالوا {فأغويناكم إنا كنا غاوين} وهو متفرع على ثبوت كلمة العذاب وآخر الأسباب لهلاكهم فإن الطغيان يستتبع الغواية ثم نار جهنم، قال تعالى لإِبليس {إن عبادي ليس لك عليهم سلطان إلا من اتبعك من الغاوين وإن جهنم لموعدهم أجمعين} الحجر 42 - 43.,"Then they said, ""We misled you, for indeed we were misled."" This is a consequence of the proof of the word of punishment and the last of the causes of their destruction, for tyranny leads to misguidance and then the Fire of Hell. Allah, the Exalted, said to Iblees, ""Indeed, over My servants you have no authority except those who follow you of the misguided. And indeed, Hell is the promised meeting place for all of them."" [Al-Hijr 42-43]."
6,فكأنه قيل فلما تلبستم بالطغيان حل بكم الغواية بأيدينا من غير سلطان لنا عليكم إلا اتباعكم لنا واتصالكم بنا فسرى إليكم ما فينا من الصفة وهي الغواية فالغاوي لا يتأتى منه إلا الغواية والإِناء لا يترشح منه إلا ما فيه، وبالجملة إنكم لم تجبروا ولم تسلبوا الاختيار منذ بدأتم في سلوك سبيل الهلاك إلى أن وقعتم في ورطته وهي الغواية فحق عليكم القول.,"It is as if it was said: ""When you were engulfed in tyranny, the misguidance befell you by our hands, without us having any authority over you, except for your following us and your connection to us. Thus, what is in us, which is misguidance, flowed into you. The misguided one can only produce misguidance, and a vessel can only leak what is in it. In summary, you were not forced, nor were you deprived of choice from the moment you began to walk the path of destruction until you fell into its trap, which is misguidance. Thus, the word was justified against you."""
7,قال الزجاج أي إن المضلّ، والضّال في النار {فَأَغْوَيْنَـٰكُمْ} أي أضللناكم عن الهدى، ودعوناكم إلى ما كنا فيه من الغيّ، وزينا لكم ما كنتم عليه من الكفر {إِنَّا كُنَّا غَـٰوِينَ} فلا عتب علينا في تعرّضنا لإغوائكم لأنا أردنا أن تكونوا أمثالنا في الغواية ومعنى الآية أقدمنا على إغوائكم لأنا كنا موصوفين في أنفسنا بالغواية، فأقرّوا ها هنا بأنهم تسببوا لإغوائهم، لكن لا بطريق القهر، والغلبة، ونفوا عن أنفسهم فيما سبق أنهم قهروهم، وغلبوهم، فقالوا {وَمَا كَانَ لَنَا عَلَيْكُمْ مّن سُلْطَـٰنٍ}.,"He said, ""Indeed, the misguider and the misguided are in the Fire."" {We misled you} means we led you astray from guidance, and we called you to what we were in of error, and we made attractive to you what you were upon of disbelief. {Indeed, we were misguided} so there is no blame on us in our exposing you to misguidance, for we wanted you to be like us in misguidance. The meaning of the verse is that we proceeded to misguide you because we were described in ourselves as misguided. They acknowledged here that they caused their misguidance, but not by way of coercion and domination, and they denied from themselves earlier that they coerced and dominated them, so they said, {And we had not over you any authority}."
8,ثم قالوا لضعفائهم: {فأغويناكم} فدعوناكم إلى الغي {إِنا كنا غَاوِينَ} فأردنا إغواءكم لتكونوا مثلنا، {فإِنهم} أي: الأتباع والمتبوعين جميعاً، {في العذاب يومئذٍ مشترِكون} كما كانوا مشتركين في الغواية.,"Then they said to their weak ones: ""We led you astray,"" so we called you to misguidance. ""We were misguided,"" so we wanted to lead you astray to be like us. ""For indeed, they,"" that is, the followers and the leaders all, ""will be partners in the punishment on that Day,"" just as they were partners in misguidance."
9,"وهذا موافق للحديث: \"" إن الله جل وعز كتب للنار أهلا وللجنة أهلا لا يزاد فيهم ولا ينقص منهم \"" {فَأَغْوَيْنَاكُمْ} أي زيّنا لكم ما كنتم عليه من الكفر {إِنَّا كُنَّا غَاوِينَ} بالوسوسة والاستدعاء.","This is in accordance with the hadith: ""Indeed, Allah, the Exalted in Majesty, has decreed for the Fire those who are destined for it, and for Paradise those who are destined for it, neither increasing nor decreasing them."" {So We led you astray} meaning, We made attractive to you what you were upon of disbelief {Indeed, We were astray} through whispering and calling."
