quote_id,count,,,
q.36_66_8_8-6,521,,Mean:,20.60566206
q.36_14_45_45-5,422,,Median:,14
q.36_12_101_101-19,391,,Sum:,92437
q.36_7_53_53-13,354,,,
q.36_27_37_38-10,254,,,
q.36_34_14_14-13,247,,,
q.36_28_21_21-5,238,,,
q.36_12_94_94-11,234,,,
q.36_7_79_79-8,198,,,
q.36_6_32_32-11,195,,,
q.36_25_44_44-9,185,,,
q.36_5_58_58-6,183,,,
q.36_40_50_50-13,169,,,
q.36_29_64_64-17,167,,,
q.36_11_43_43-15,157,,,
q.36_11_43_43-34,149,,,
q.36_7_147_147-6,146,,,
q.36_10_44_44-6,144,,,
q.36_25_29_29-14,140,,,
q.36_30_53_53-7,140,,,
q.36_34_45_45-9,137,,,
q.36_2_261_261-15,134,,,
q.36_18_79_79-13,133,,,
q.36_38_26_26-24,133,,,
q.36_62_11_11-20,133,,,
q.36_10_87_87-11,131,,,
q.36_31_19_19-11,131,,,
q.36_50_15_15-3,129,,,
q.36_25_46_46-13,126,,,
q.36_40_83_83-7,122,,,
q.36_21_91_91-7,120,,,
q.36_30_8_8-8,118,,,
q.36_36_50_50-5,118,,,
q.36_20_36_36-9,116,,,
q.36_12_30_31-29,115,,,
q.36_27_37_38-15,114,,,
q.36_29_47_47-10,113,,,
q.36_12_35_35-12,112,,,
q.36_13_3_3-5,112,,,
q.36_7_12_12-11,112,,,
q.36_12_30_31-34,110,,,
q.36_14_27_27-6,110,,,
q.36_50_1_1-4,109,,,
q.36_5_86_86-4,109,,,
q.36_73_4_4-7,109,,,
q.36_34_19_19-3,107,,,
q.36_12_36_36-14,105,,,
q.36_12_88_88-12,105,,,
q.36_4_164_164-8,105,,,
q.36_14_43_43-7,104,,,
q.36_12_55_55-8,103,,,
q.36_22_17_17-12,102,,,
q.36_40_29_29-14,101,,,
q.36_3_58_58-10,100,,,
q.36_30_60_60-13,99,,,
q.36_8_1_1-15,99,,,
q.36_18_29_30-30,97,,,
q.36_34_12_12-12,97,,,
q.36_12_35_35-10,96,,,
q.36_17_44_44-11,96,,,
q.36_2_163_163-4,96,,,
q.36_31_15_15-15,96,,,
q.36_3_136_136-11,96,,,
q.36_7_158_158-14,96,,,
q.36_30_24_24-14,93,,,
q.36_36_83_83-15,93,,,
q.36_40_14_14-8,93,,,
q.36_12_29_29-9,89,,,
q.36_16_81_81-8,89,,,
q.36_28_14_14-11,89,,,
