,tafsir_id,quote_count,word_count,rel_quotes_per_1k_tokens
9,10,29860,219007,136.3426739784573
7,8,25178,186564,134.95636886001586
50,60,16870,168095,100.35991552395966
69,95,40851,477252,85.59628875311157
64,89,2944,38567,76.33469027925429
79,105,2577,34377,74.96291124880007
53,67,25443,352800,72.11734693877551
78,104,13664,199112,68.62469363976054
16,17,28177,480617,58.62672356574986
15,16,9620,169530,56.74511885801923
40,47,17601,311098,56.57702717471665
5,6,25859,475090,54.42968700667242
41,48,20158,394683,51.073899813267865
30,33,9503,208712,45.531641688067765
10,11,25202,571862,44.070072849743475
60,83,23907,553166,43.218491375102595
71,97,23178,551205,42.049691131248814
73,99,898,22866,39.272281990728594
63,88,11729,299971,39.100446376483056
20,22,47114,1333046,35.34311644159317
32,37,34858,1034716,33.68847103939632
36,41,19233,571233,33.66927330878993
12,13,25500,765725,33.30177282967123
66,91,23052,692304,33.297510920058244
72,98,17051,516965,32.982890524503595
61,84,25693,808311,31.786032851216923
8,9,41241,1300628,31.708528495465266
58,78,2514,79703,31.54210004642234
1,2,20555,662449,31.028803726777458
21,23,14460,467226,30.94862015384418
56,75,29397,968370,30.35719817838223
14,15,19821,658186,30.11458766974685
70,96,21126,701695,30.107097813152436
75,101,4157,139513,29.796506418756675
25,28,30843,1035376,29.789178037737013
37,42,21191,717681,29.52704613888343
34,39,32557,1105435,29.451754286773987
67,92,25385,868699,29.22185935519668
11,12,13264,455528,29.11785883633937
23,25,50706,1742977,29.091605913331044
68,94,40356,1394926,28.930566926130847
13,14,29987,1038712,28.869407496977026
26,29,1486,52011,28.570879237084462
46,54,75640,2729459,27.712451441842504
33,38,6114,222153,27.52157296998015
76,102,32480,1253097,25.91978115022221
2,3,32686,1283581,25.46469603398617
17,18,25943,1032918,25.116224133958358
24,26,39838,1599787,24.902065087414762
0,1,65022,2719940,23.905674389876246
6,7,34414,1448949,23.751008489601773
43,50,35270,1491328,23.65006222641833
38,44,146,6187,23.59786649426216
55,71,8726,374434,23.304507603476182
65,90,11904,514169,23.151920866485533
74,100,1559,67558,23.076467627816097
27,30,4269,196064,21.773502529786192
49,57,35693,1648877,21.64685419227753
31,36,50059,2352926,21.275212225118853
4,5,40597,1929863,21.036208269706194
45,52,71498,3475920,20.56951828580635
47,55,26451,1296213,20.406368397786476
18,19,39465,1953243,20.204859303220335
52,66,12920,645964,20.00111461319826
28,31,5934,296831,19.99117342865132
3,4,56219,2869452,19.592242699999858
42,49,39848,2057921,19.363231144441404
48,56,42590,2277976,18.696421735786505
39,45,1896,106047,17.878865031542617
59,79,20454,1173789,17.42561908486108
22,24,46174,2820624,16.370136537163408
62,85,3766,235526,15.989742109151432
57,76,44534,2911812,15.294256634700318
19,20,1470,98824,14.874929167003966
29,32,5442,407626,13.350473227909898
54,68,4896,385548,12.69880793053005
44,51,2576,244890,10.519008534444035
35,40,5911,601338,9.829746332345536
77,103,17762,1876028,9.467875745990998
51,65,4,180844,0.022118510981840703
