"sura_id","aya_id","avg_aya_tokens"
1,7,"2637.642253968253"
17,1,"2144.293408202104"
2,196,"1958.9747586872588"
5,6,"1897.6839475839477"
22,27,"1756.5861660809753"
2,255,"1710.0245397571484"
5,3,"1637.6797171717171"
2,102,"1623.2440308517773"
2,282,"1592.879078439676"
4,43,"1481.66273305391"
1,1,"1427.9066063044936"
2,30,"1361.4711883876355"
2,187,"1343.1633333333334"
2,229,"1312.91246807152"
3,7,"1270.4074665303829"
2,34,"1268.6033179012345"
2,3,"1242.2560909980432"
4,11,"1209.1122645609964"
2,185,"1192.9013835263836"
4,24,"1189.0440065681444"
2,259,"1183.3713512961829"
2,233,"1135.2859195402298"
7,54,"1123.9401562713917"
4,23,"1097.4648733286415"
5,95,"1092.761729691877"
2,1,"1047.410287966538"
5,2,"1036.2699836199836"
2,228,"1034.718277480978"
4,92,"1026.615158462679"
2,26,"1020.0363774733637"
2,25,"1019.4132756132755"
5,89,"1009.52732506148"
4,25,"1002.9256048971314"
8,41,"994.1016577338004"
24,35,"993.5564484126984"
9,60,"986.6383674544632"
24,2,"980.7244605604798"
5,4,"969.6065087494665"
2,184,"943.4024787997392"
4,3,"938.3846982758623"
2,219,"924.6280765371284"
3,97,"913.7597209787166"
2,36,"913.5111882716046"
2,213,"912.796248196248"
2,197,"909.3125965250965"
2,177,"900.666554054054"
22,28,"898.8587810879508"
2,61,"898.818512820513"
2,164,"891.8805301506005"
2,260,"876.5342125603863"
2,286,"872.7268328653678"
2,31,"869.1510264550263"
5,5,"858.2630505050505"
2,178,"856.2738605442178"
2,2,"851.5454231016731"
24,31,"848.6081998132586"
7,157,"839.7126927474428"
7,143,"835.1708287539939"
2,124,"828.2014317889318"
2,217,"826.7307551085568"
2,238,"825.6463123569"
4,12,"820.9941779110445"
2,21,"819.2484126984127"
2,143,"816.3395733652314"
2,22,"812.210074074074"
2,6,"810.0419433266264"
5,1,"809.689207139892"
9,29,"796.6941804170065"
2,221,"796.5676882477129"
4,1,"793.4002252252252"
2,106,"791.7558862433863"
2,186,"790.1813063063065"
4,102,"785.2541926770709"
1,2,"781.2138095238095"
9,40,"780.3206493506492"
2,23,"780.1153364632238"
4,93,"778.8123036280122"
33,56,"767.0371045457553"
2,173,"763.2382605820104"
5,67,"759.481761038961"
4,6,"753.3812299081847"
4,101,"752.8068117246899"
1,6,"750.8070488721804"
1,5,"748.7444761904762"
2,222,"746.5730384325212"
2,7,"743.6846298108286"
49,12,"741.7941383219957"
2,35,"740.888138138138"
6,141,"740.7746204499725"
4,34,"736.2487442922376"
4,59,"735.6590019569472"
2,125,"735.2367178992178"
24,61,"734.190832758224"
2,29,"727.4954504806618"
5,106,"725.2626628760954"
24,11,"723.3865505007449"
2,48,"717.1814665772412"
2,220,"714.7984250329563"
2,258,"714.7052277432712"
2,230,"707.6487407031779"
33,53,"705.2560983764135"
24,33,"703.9952966117953"
10,2,"701.8470266040689"
2,275,"700.4565339861647"
2,198,"698.2929060665361"
65,1,"697.4325170068026"
48,29,"690.8740363006542"
62,9,"689.4635942760943"
4,31,"688.4721327967807"
2,24,"687.1423317683881"
2,253,"686.0180415960851"
2,234,"682.4609195402298"
5,54,"682.3426857309356"
33,50,"680.8074610078502"
2,257,"678.7254528985508"
2,40,"678.3294187044189"
2,223,"676.8708426119622"
9,36,"676.2403968253969"
2,27,"673.5813378684805"
2,283,"671.9430816784767"
12,24,"671.0603758560283"
4,36,"669.7849745003854"
5,41,"664.2417113793875"
2,20,"662.1335921511978"
2,284,"659.0863161786456"
2,158,"658.4006523157207"
2,285,"650.0422518403498"
2,127,"649.2113411236651"
5,96,"647.4431372549021"
5,45,"643.5464228203359"
8,1,"642.0285353328974"
2,235,"640.2353566367501"
7,158,"636.1816303020651"
7,187,"635.7695203081233"
2,17,"635.4552706552705"
5,44,"632.5005215419501"
10,1,"630.6982323232323"
2,83,"630.2892582541837"
5,105,"625.0418884220353"
47,24,"623.2825407740955"
2,237,"622.3369739619986"
2,62,"621.0493055555557"
1,4,"620.6855873015872"
6,158,"617.8866407848805"
2,256,"617.4885037211122"
9,34,"617.2814208553795"
2,37,"615.6233333333332"
2,189,"611.9433463796478"
5,101,"611.460060690943"
3,154,"611.0652690166976"
4,58,"608.5028011204483"
4,94,"607.1005475906015"
73,20,"606.9290064510652"
17,85,"605.4756034754355"
33,33,"601.9711297700734"
7,155,"600.1185207502859"
5,107,"598.9254668534079"
2,144,"597.9757941382943"
2,236,"597.6798311048557"
2,183,"594.7900132275133"
4,176,"585.059381663113"
5,32,"584.6348246991105"
5,64,"579.9712029154421"
2,19,"579.6055028685165"
5,33,"575.3926507764538"
33,4,"574.3733994878361"
4,171,"574.2909146530857"
3,96,"569.2736732667105"
2,49,"568.8346084074655"
2,126,"564.783340066796"
4,4,"555.2589122105612"
6,99,"552.2292976347325"
2,142,"550.7577441077442"
24,3,"550.34360410831"
12,111,"547.1952698628071"
4,19,"546.69911626528"
6,128,"545.3783713291067"
2,180,"545.0712215320913"
1,3,"544.9282738095237"
4,2,"544.5779099886676"
9,37,"543.8523015873017"
2,60,"543.3262286324787"
2,249,"543.0617880927888"
17,33,"542.5539153178478"
17,79,"540.001296797844"
3,14,"539.0932289161457"
9,30,"537.8825639120416"
