"tafsir_id","type","quote_count","word_count","quote_per_1k_token","title_dmg"
1,"Hadith","3391","2719940","1.2467186776178887","Ǧāmiʿ al-bayān ʿan taʾwīl āy al-Qurʾān"
1,"Poetry","1904","2719940","0.7000154415170923","Ǧāmiʿ al-bayān ʿan taʾwīl āy al-Qurʾān"
1,"Quran","59727","2719940","21.958940270741266","Ǧāmiʿ al-bayān ʿan taʾwīl āy al-Qurʾān"
2,"Hadith","1016","662449","1.533702971851418","al-Kaššāf ʿan ḥaqāʾiq ġawāmiḍ at-tanzīl wa-ʿuyūn al-aqāwīl fī wuǧūh at-taʾwīl"
2,"Poetry","856","662449","1.2921749447882027","al-Kaššāf ʿan ḥaqāʾiq ġawāmiḍ at-tanzīl wa-ʿuyūn al-aqāwīl fī wuǧūh at-taʾwīl"
2,"Quran","18683","662449","28.202925810137835","al-Kaššāf ʿan ḥaqāʾiq ġawāmiḍ at-tanzīl wa-ʿuyūn al-aqāwīl fī wuǧūh at-taʾwīl"
3,"Hadith","1193","1283581","0.9294310214937741","Maǧmaʿ al-bayān fī tafsīr al-Qurʾān"
3,"Poetry","2884","1283581","2.246839116502971","Maǧmaʿ al-bayān fī tafsīr al-Qurʾān"
3,"Quran","28609","1283581","22.288425895989423","Maǧmaʿ al-bayān fī tafsīr al-Qurʾān"
4,"Hadith","2929","2869452","1.020752394533869","ʿArāʾis al-bayān fī ḥaqāʾiq al-Qurʾān"
4,"Poetry","750","2869452","0.2613739487539781","ʿArāʾis al-bayān fī ḥaqāʾiq al-Qurʾān"
4,"Quran","52540","2869452","18.31011635671201","ʿArāʾis al-bayān fī ḥaqāʾiq al-Qurʾān"
5,"Hadith","6036","1929863","3.127683156783668","al-Ǧāmiʿ li-aḥkām al-Qurʾān"
5,"Poetry","3846","1929863","1.9928875780301503","al-Ǧāmiʿ li-aḥkām al-Qurʾān"
5,"Quran","30715","1929863","15.915637534892372","al-Ǧāmiʿ li-aḥkām al-Qurʾān"
6,"Hadith","627","475090","1.3197499421162306","Anwār at-tanzīl wa-asrār at-taʾwīl"
6,"Poetry","287","475090","0.6040960660085458","Anwār at-tanzīl wa-asrār at-taʾwīl"
6,"Quran","24945","475090","52.50584099854765","Anwār at-tanzīl wa-asrār at-taʾwīl"
7,"Hadith","8186","1448949","5.649612236179465","Tafsīr al-Qurʾān al-ʿaẓīm"
7,"Poetry","382","1448949","0.26363936894949375","Tafsīr al-Qurʾān al-ʿaẓīm"
7,"Quran","25846","1448949","17.837756884472814","Tafsīr al-Qurʾān al-ʿaẓīm"
8,"Hadith","70","186564","0.375206363499925","Tafsīr al-Ǧalālayn"
8,"Quran","25108","186564","134.58116249651593","Tafsīr al-Ǧalālayn"
9,"Hadith","2507","1300628","1.927530393010146","Fatḥ al-qadīr"
9,"Poetry","1716","1300628","1.3193626463523775","Fatḥ al-qadīr"
9,"Quran","37018","1300628","28.461635456102744","Fatḥ al-qadīr"
10,"Hadith","2","219007","0.009132128196815628","Tafsīr al-Qurʾān"
10,"Poetry","3","219007","0.01369819229522344","Tafsīr al-Qurʾān"
10,"Quran","29855","219007","136.31984365796527","Tafsīr al-Qurʾān"
11,"Hadith","741","571862","1.2957671606086782","Baḥr al-ʿulūm"
11,"Poetry","52","571862","0.0909310288146441","Baḥr al-ʿulūm"
11,"Quran","24409","571862","42.68337466032015","Baḥr al-ʿulūm"
12,"Hadith","615","455528","1.3500816634762298","an-Nukat wa-l-ʿuyūn"
12,"Poetry","1262","455528","2.7704114785479708","an-Nukat wa-l-ʿuyūn"
12,"Quran","11387","455528","24.997365694315167","an-Nukat wa-l-ʿuyūn"
13,"Hadith","1931","765725","2.5217930719252997","Maʿālim at-tanzīl"
13,"Poetry","93","765725","0.12145352443762447","Maʿālim at-tanzīl"
13,"Quran","23476","765725","30.6585262333083","Maʿālim at-tanzīl"
14,"Hadith","1339","1038712","1.2890964964301943","al-Muḥarrar al-waǧīz fī tafsīr al-kitāb al-ʿazīz"
14,"Poetry","2054","1038712","1.9774489945239877","al-Muḥarrar al-waǧīz fī tafsīr al-kitāb al-ʿazīz"
14,"Quran","26594","1038712","25.602862006022843","al-Muḥarrar al-waǧīz fī tafsīr al-kitāb al-ʿazīz"
15,"Hadith","478","658186","0.7262384797002671","Zād al-masīr fī ʿilm at-tafsīr"
15,"Poetry","778","658186","1.1820366887171712","Zād al-masīr fī ʿilm at-tafsīr"
15,"Quran","18565","658186","28.206312501329414","Zād al-masīr fī ʿilm at-tafsīr"
16,"Hadith","163","169530","0.9614817436441928","Tafsīr al-Qurʾān"
16,"Poetry","94","169530","0.5544741343714976","Tafsīr al-Qurʾān"
16,"Quran","9363","169530","55.229162980003544","Tafsīr al-Qurʾān"
17,"Hadith","473","480617","0.9841516217695171","Madārik at-tanzīl wa-ḥaqāʾiq at-taʾwīl"
17,"Poetry","79","480617","0.16437204676488762","Madārik at-tanzīl wa-ḥaqāʾiq at-taʾwīl"
17,"Quran","27625","480617","57.478199897215454","Madārik at-tanzīl wa-ḥaqāʾiq at-taʾwīl"
18,"Hadith","2707","1032918","2.6207307840506218","Lubāb at-taʾwīl fī maʿānī at-tanzīl"
18,"Poetry","222","1032918","0.21492509569975546","Lubāb at-taʾwīl fī maʿānī at-tanzīl"
18,"Quran","23014","1032918","22.28056825420798","Lubāb at-taʾwīl fī maʿānī at-tanzīl"
19,"Hadith","1379","1953243","0.7060053459810172","al-Baḥr al-muḥīṭ"
19,"Poetry","3498","1953243","1.7908678029308183","al-Baḥr al-muḥīṭ"
19,"Quran","34588","1953243","17.7079861543085","al-Baḥr al-muḥīṭ"
20,"Hadith","59","98824","0.5970209665668259","Tafsīr al-imām ʾibn ʿArafa"
20,"Poetry","37","98824","0.37440297903343317","Tafsīr al-imām ʾibn ʿArafa"
20,"Quran","1374","98824","13.903505221403709","Tafsīr al-imām ʾibn ʿArafa"
