,id,sentence_text,cluster
0,sc.83_37_114_182_0,المنَاسَبَة: لما ذكر قصة الخليل إبراهيم، وقصة الذبيح والفداء، أعقبها بذكر قصص بعض الأنبياء، كموسى وهارون، ويونس ولوط، وما في هذه القصة من العظات والعبر، وختم السورة الكريمة ببيان أن النصر والغلبة للرسل وأتباعهم المؤمنين.,62
1,sc.83_37_114_182_1,اللغَة: {أَبَقَ} هرب {ٱلْمَشْحُونِ} المملوء {سَاهَمَ} قارع أي ضرب القُرعة قال المبرّد: وأصله من السهام التي تُجال {ٱلْمُدْحَضِينَ} المغلوبين، وأصله من الزلق، يُقال: دَحضت حجته وأدحضها اللهُ أي غُلب وهُزم قال الشاعر: قتلنا المُدْحضين بكلِّ فجٍّ فقد قرَّت بقتلهم العُيون {مُلِيمٌ} آتٍ بما يُلام عليه {ٱلْعَرَآءِ} الأرض الفيحاء لا شجر فيها، ولا معلم، قال الفراء، العراءُ المكانُ الخالي {يَقْطِينٍ} القرعُ المعروف والمسمَّى بالدباء، قال الجوهري: اليقطين ما لا ساق له كشجر القرع ونحوه {سَاحَتِهِمْ} الساحةُ: الفناء.,-1
2,sc.83_37_114_182_2,التفسِير: {وَلَقَدْ مَنَنَّا عَلَىٰ مُوسَىٰ وَهَارُونَ} اللام موطئة للقسم أي وعزتنا وجلالنا لقد أنعمنا على موسى وهارون بأنواع النعم والمنافع الدينية والدنيوية ومنها نعمة النبوة والرسالة {وَنَجَّيْنَاهُمَا وَقَوْمَهُمَا مِنَ ٱلْكَرْبِ ٱلْعَظِيمِ} أي ونجيناهما وقومهما - بني إسرائيل - من الغم والمكروه العظيم، وهو استعباد فرعون إياهم مع التعذيب بقتل الأبناء، واستحياء النساء {وَنَصَرْنَاهُمْ فَكَانُواْ هُمُ ٱلْغَٰلِبِينَ} الضمير يعود على موسى وهارون وبني إسرائيل أي ونصرناهم على أعدائهم - الأقباط - فكانوا الغالبين عليهم بعد أن كانوا تحت أيديهم مقهورين {وَآتَيْنَاهُمَا ٱلْكِتَابَ ٱلْمُسْتَبِينَ} أي أعطيناهما الكتاب البليغ في بيانه، الكامل في حدوده وأحكامه، وهو التوراة {وَهَدَيْنَاهُمَا ٱلصِّرَاطَ ٱلْمُسْتَقِيمَ} أي وهديناهما الطريق المستقيم الذي لا اعوجاج فيه قال الطبري: وهو الإِسلام دينُ الله الذي ابتعث به أنبياءه {وَتَرَكْنَا عَلَيْهِمَا فِي ٱلآخِرِينَ} أي تركنا عليهما الثناء الجميل، والذكر الحسن {سَلاَمٌ عَلَىٰ مُوسَىٰ وَهَارُونَ} أي سلام منا على موسى وهارون {إِنَّا كَذَلِكَ نَجْزِي ٱلْمُحْسِنِينَ * إِنَّهُمَا مِنْ عِبَادِنَا ٱلْمُؤْمِنِينَ} أي كذلك نفعل بمن أحسن وأخلص العبودية لله {وَإِنَّ إِلْيَاسَ لَمِنَ ٱلْمُرْسَلِينَ} أي وإِنَّ الياس - أحد أنبياء بني إسرائيل - لمن الرسل الكرام الذين أرسلتُهم لهداية الخلق قال أبو السعود: هو إلياس بن ياسين من سبط هارون أخي موسى {إِذْ قَالَ لِقَوْمِهِ أَلاَ تَتَّقُونَ} أي حين قال لقومه من بني إسرائيل ألا تخافون الله في عبادتكم غيره؟,61
3,sc.83_37_114_182_3,{أَتَدْعُونَ بَعْلاً وَتَذَرُونَ أَحْسَنَ ٱلْخَالِقِينَ} أتعبدون هذا الصنم - المسمَّى بعلاً - وتتركون عبادة ربكم أحسن الخالقين؟,43
4,sc.83_37_114_182_4,"{ٱللَّهَ رَبَّكُمْ وَرَبَّ آبَآئِكُمُ ٱلأَوَّلِينَ} أي تتركون عبادة أحسن الخالقين، الذي هو ربكم وربُّ آبائكم السابقين قال القرطبي: و \"" بعل \"" اسم صنم لهم كانوا يعبدونه وبذلك سميت مدينتهم بعلبك، والمعنى: أتدعون رباً اختلقتموه وهو هذا الصنم، وتتركون أحسن من يقال له خالق وهو \"" الله \"" ربكم وربَّ آبائكم الأولين؟",43
5,sc.83_37_114_182_5,"{فَكَذَّبُوهُ فَإِنَّهُمْ لَمُحْضَرُونَ} أي فكذبوا نبيَّهم فإِنهم لمحضرون في العذاب {إِلاَّ عِبَادَ ٱللَّهِ ٱلْمُخْلَصِينَ} أي لكنْ عباد الله المؤمنين فإِنهم نجوا من العذاب {وَتَرَكْنَا عَلَيْهِ فِي ٱلآخِرِينَ} أي تركنا على إلياس الثناء الحسن الجميل إلى يوم الدين {سَلاَمٌ عَلَىٰ إِلْ يَاسِينَ} أي سلام منا عليه وعلى آل ياسين قال المفسرون: المراد بـ {إل ياسين} هو إلياس ومن آمن معه جمعوا معه تغليباً كما قالوا للمهلَّب وقومه المهلَّبون، واختار الطبري أنه اسم لإِلياس فيقال: إلياس، وإل ياسين مثل ميكال وميكائيل، وأن له اسمين فيسمى \"" إلياس \"" و {إل ياسين} {إِنَّا كَذَلِكَ نَجْزِي ٱلْمُحْسِنِينَ * إِنَّهُ مِنْ عِبَادِنَا ٱلْمُؤْمِنِينَ} تقدم تفسيره، وإِنما ختم الآيات بعد ذكر كل رسول بالسلام عليه، وبهاتين الآيتين الكريمتين لبيان فضل الإِحسان والإِيمان، وأن هؤلاء الرسل الكرام كانوا جميعاً من المتصفين بهذه الصفات، فلذلك استحقوا التحية والسلام، والذكر الحسن بين الأنام، صلوات الله وسلامه عليهم أجمعين {وَإِنَّ لُوطاً لَّمِنَ ٱلْمُرْسَلِينَ} أي وإِنَّ لوطاً لأحد رسلنا لهداية قومه {إِذْ نَجَّيْنَاهُ وَأَهْلَهُ أَجْمَعِينَ} أي اذكر حين خلصناه من العذاب هو ومن آمن معه من أهله وأولاده {إِلاَّ عَجُوزاً فِي ٱلْغَابِرِينَ} أي إلا امرأته الكافرة فإِنها لم تؤمن فكانت من الباقين في العذاب ومن الهالكين {ثُمَّ دَمَّرْنَا ٱلآخَرِينَ} أي ثم أهلكنا المكذبين من قومه أشدَّ إهلاك وأفظعه، وذلك بقلب قراهم حيث جعلنا عاليها سافلها وأمطرنا عليهم حجارة من سجيل، ولهذا عبَّر بـ {دَمَّرْنَا} {وَإِنَّكُمْ لَّتَمُرُّونَ عَلَيْهِمْ مُّصْبِحِينَ * وَبِٱلَّيلِ} أي وإِنكم يا أهل مكة لتمرون على منازلهم في أسفاركم وتشاهدون آثار هلاكهم صباحاً ومساءً، وليلاً ونهاراً {أَفَلاَ تَعْقِلُونَ}؟",61
6,sc.83_37_114_182_6,أي أتشاهدون ذلك ثم لا تعتبرون؟,18
7,sc.83_37_114_182_7,ألا تخافون أن يصيبكم مثل ما أصابهم؟,-1
8,sc.83_37_114_182_8,"{وَإِنَّ يُونُسَ لَمِنَ ٱلْمُرْسَلِينَ} أي وإِن يونس لأحد رسلنا المرسلين لهداية قومه {إِذْ أَبَقَ إِلَى ٱلْفُلْكِ ٱلْمَشْحُونِ} أي اذكر حين هرب إلى السفينة المملوءة بالرجال {فَسَاهَمَ فَكَانَ مِنَ ٱلْمُدْحَضِينَ} أي فقارع أهل السفينة فكان من المغلوبين بالقرعة فألقوه في البحر قال المفسرون: إن يونس ضاق صدراً بتكذيب قومه، فأنذرهم بعذاب قريب، وغادرهم مغضباً لأنهم كذبوه، فقاده الغضب إلى شاطىء البحر حيث ركب سفينة مشحونة، فناوأتها الرياح والأمواج، فقال الملاحون: هٰهنا عبدٌ أبق من سيده، ولا بدَّ لنجاة السفينة من إلقائه في الماء لتنجو من الغرق، فاقترعوا فخرجت القُرعة على يونس فألقوه في البحر {فَٱلْتَقَمَهُ ٱلْحُوتُ وَهُوَ مُلِيمٌ} أي فابتلعه الحوت وهو آتٍ بما يُلام عليه من تخليه عن المهمة التي أرسله الله بها، وترك قومه مغاضباً لهم، وخروجه بغير إِذنٍ من ربه {فَلَوْلاَ أَنَّهُ كَانَ مِنَ ٱلْمُسَبِّحِينَ} أي لولا أنه كان من الذاكرين الله كثيراً في حياته {لَلَبِثَ فِي بَطْنِهِ إِلَىٰ يَوْمِ يُبْعَثُونَ} أي لبقي في بطن الحوت إلى يوم القيامة، وأصبح بطنه قبراً له فلم ينج أبداً، ولكنه سبَّح اللهَ واستغفره وناداه وهو في بطن الحوت بقوله {لاَّ إِلَـٰهَ إِلاَّ أَنتَ سُبْحَانَكَ إِنِّي كُنتُ مِنَ ٱلظَّالِمِينَ} [الأنبياء: 87] فاستجاب الله تضرعه ونداءه {فَنَبَذْنَاهُ بِٱلْعَرَآءِ وَهُوَ سَقِيمٌ} أي فألقيناه من بطن الحوت على الساحل، بالأرض الفضاء التي لا شجر فيها ولا ظل، وهو سقيم مريض مما ناله من الكرب قال عطاء: أوحى الله تعالى إلى الحوت إني قد جعلت بطنك له سجناً، ولم أجعله لك طعاماً، فلذلك بقي سالماً لم يتغير منه شيء {وَأَنبَتْنَا عَلَيْهِ شَجَرَةً مِّن يَقْطِينٍ} أي وأنبتنا فوقه شجرة لتظله وتقيه حرَّ الشمس، وهي شجرة القرع ذات الأوراق العريضة قال ابن جزي: وإِنما خصَّ القرع بالذكر لأنه يجمع كبر الورق، وبرد الظل، والذبابُ لا يقربه، فإِن لحم يونس لما خرج من البحر كان لا يحتمل الذباب، وكان هذا من تدبير الله ولطفه، فلما استكمل قوته وعافيته ردَّه الله إلى قومه ولهذا قال {وَأَرْسَلْنَاهُ إِلَىٰ مِئَةِ أَلْفٍ أَوْ يَزِيدُونَ} أي وأرسلناه بعد ذلك إلى قومه الذين هرب منهم وهم مائة ألفٍ بل يزيدون قال المفسرون: كانوا مائة وعشرين ألفاً وقيل: وسبعين ألفاً، وهم أهل نينوى بجهة الموصل، و \"" أو \"" بمعنى بل أي بل يزيدون {فَآمَنُواْ فَمَتَّعْنَاهُمْ إِلَىٰ حِينٍ} أي فآمنوا بعد أن شاهدوا أمارات العذاب الذي وُعدوا به فأبقيناهم ممتعين في الدنيا إلى حين انقضاء آجالهم قال في التسهيل: روي أنهم خرجوا بالأطفال وأولاد البهائم، وفرقوا بينهم وبين الأمهات، وناحوا وتضرعوا إلى الله، فرفع الله العذاب عنهم … ولما انتهى من الحديث عن الرسل الكرام رجع إلى الحديث عن المكذبين من كفار مكة فقال {فَٱسْتَفْتِهِمْ أَلِرَبِّكَ ٱلْبَنَاتُ وَلَهُمُ ٱلْبَنُونَ}؟",61
9,sc.83_37_114_182_9,أي اسأل يا محمد واستخبر كفار مكة - على سبيل التوبيخ والتقريع لهم - كيف زعموا أن الملائكة بنات الله، فجعلوا للهِ الإِناث ولأنفسهم الذكور؟,-1
