"sura_id","aya_id","count"
2,25,"77"
1,6,"76"
2,143,"76"
8,1,"76"
2,30,"76"
2,187,"75"
2,45,"75"
2,31,"75"
5,3,"75"
8,11,"75"
2,22,"75"
24,31,"75"
1,4,"75"
5,5,"75"
42,23,"75"
1,2,"75"
1,5,"75"
2,260,"75"
5,67,"75"
2,46,"75"
1,7,"75"
2,61,"75"
9,3,"75"
2,37,"75"
4,43,"74"
4,1,"74"
2,71,"74"
2,55,"74"
2,144,"74"
2,125,"74"
2,54,"74"
5,6,"74"
2,196,"74"
2,273,"74"
2,124,"74"
2,15,"74"
2,256,"74"
2,197,"74"
2,222,"74"
2,177,"74"
2,2,"74"
6,151,"74"
2,35,"74"
2,40,"74"
2,185,"74"
19,96,"74"
5,2,"74"
2,255,"74"
2,1,"74"
2,186,"74"
3,61,"73"
2,189,"73"
4,59,"73"
2,201,"73"
2,198,"73"
2,78,"73"
15,75,"73"
2,68,"73"
31,19,"73"
2,10,"73"
20,111,"73"
7,46,"73"
8,29,"73"
41,30,"73"
2,275,"73"
9,60,"73"
2,223,"73"
32,16,"73"
2,269,"73"
48,29,"73"
22,27,"73"
5,1,"73"
2,33,"73"
4,103,"73"
2,235,"73"
2,286,"73"
11,17,"73"
4,36,"73"
22,36,"73"
2,249,"73"
3,96,"73"
2,7,"73"
2,184,"73"
4,34,"73"
2,3,"73"
25,63,"73"
2,26,"73"
8,2,"73"
2,28,"73"
24,2,"73"
2,19,"73"
2,81,"73"
24,33,"73"
2,158,"73"
8,24,"72"
2,34,"72"
2,257,"72"
62,9,"72"
62,11,"72"
108,3,"72"
2,60,"72"
2,267,"72"
20,7,"72"
2,229,"72"
24,32,"72"
4,9,"72"
4,3,"72"
2,62,"72"
7,156,"72"
2,159,"72"
7,169,"72"
48,26,"72"
3,97,"72"
45,28,"72"
2,246,"72"
12,18,"72"
2,217,"72"
2,285,"72"
35,32,"72"
2,9,"72"
2,207,"72"
42,13,"72"
2,106,"72"
7,176,"72"
18,28,"72"
2,58,"72"
2,281,"72"
29,2,"72"
25,65,"72"
2,142,"72"
2,69,"72"
21,87,"72"
3,79,"72"
20,40,"72"
2,173,"72"
3,7,"72"
17,13,"72"
4,5,"72"
2,195,"72"
24,22,"72"
43,31,"72"
24,30,"72"
4,94,"72"
3,14,"72"
9,34,"72"
2,199,"72"
4,171,"72"
11,82,"72"
2,36,"72"
108,1,"72"
33,6,"72"
53,1,"72"
2,264,"72"
49,14,"72"
6,98,"72"
2,282,"72"
11,86,"72"
3,102,"72"
46,15,"72"
6,52,"72"
49,7,"72"
43,55,"72"
49,13,"72"
56,75,"72"
7,180,"72"
14,37,"72"
2,17,"72"
1,3,"72"
14,28,"72"
3,103,"72"
2,128,"72"
13,29,"72"
24,26,"72"
2,183,"72"
19,26,"72"
60,10,"72"
114,4,"72"
2,276,"72"
2,57,"72"
7,43,"72"
24,35,"72"
2,44,"72"
20,108,"72"
2,138,"72"
45,23,"72"
2,11,"72"
9,28,"72"
15,87,"72"
4,19,"72"
3,188,"72"
6,54,"72"
38,24,"72"
49,9,"72"
2,96,"72"
34,46,"72"
2,79,"72"
2,63,"72"
2,219,"72"
18,9,"72"
13,11,"72"
2,8,"71"
2,231,"71"
11,78,"71"
22,52,"71"
17,78,"71"
57,28,"71"
100,6,"71"
2,127,"71"
48,18,"71"
45,18,"71"
18,82,"71"
2,6,"71"
18,46,"71"
50,1,"71"
18,18,"71"
9,12,"71"
33,33,"71"
7,2,"71"
46,9,"71"
6,75,"71"
