,regions,law_schools,theology_schools,exegetical_interests,periods,date,author_name,author_id,tafsir_name,tafsir_id
0,['Egypt'],['Sunni'],['Ashʿariyya'],,['Mamluk'],1505.0,Ǧalāl ad-Dīn ʿAbd ar-Raḥmān Ibn Abī Bakr as-Suyūṭī,68,ad-Durr al-manṯūr fī at-tafsīr bi-l-maʾṯūr,26
1,['Khwarazm'],['Sunni'],['Muʿtazila'],,['pre-Mongolian'],1144.0,Maḥmūd ibn ʿUmar az-Zamaḫšarī,81,al-Kaššāf ʿan ḥaqāʾiq ġawāmiḍ at-tanzīl wa-ʿuyūn al-aqāwīl fī wuǧūh at-taʾwīl,2
2,['Iran (West)'],['Sunni'],['Ashʿariyya'],,['post-Mongolian'],1479.0,ʿAbd al-Raḥmān aṯ-Ṯaʿālibī,70,al-Ǧawāhir al-ḥisān fī tafsīr al-Qurʾān,23
3,['Oman'],['Ibadi'],['Ibadi'],,['post-colonial'],,Aḥmad ibn Ḥamad al-Ḫalīlī,19,Ǧawāhir at-tafsīr: Anwār min bayān al-tanzīl,51
4,['Iran (West)'],['Sunni'],"['Sunni, undefined']",,"['early, pre-Buyid']",896.0,Abū Muḥammad Sahl at-Tustarī,79,Tafsīr al-Qurʾān al-ʿaẓīm,29
5,['Iran (West)'],['Jaʿfari'],['Twelver Shiʿa'],,['pre-Mongolian'],1153.0,al-Faḍl ibn al-Ḥasan aṭ-Ṭabarsī,73,Maǧmaʿ al-bayān fī tafsīr al-Qurʾān,3
6,['Iran (West)'],['Sunni'],"['Ashʿariyya', 'Muʿtazila']",,['Abbasid'],1058.0,ʿAlī ibn Muḥammad al-Māwardī,42,an-Nukat wa-l-ʿuyūn,12
7,['Algeria'],['Ibadi'],['Ibadi'],,['colonial'],1914.0,Muḥammad ibn Yūsuf Aṭfayyiš,8,Taysīr at-tafsīr li-l-qurʾān al-karīm,50
8,['Egypt'],['Sunni'],"['Sunni, undefined']",,['post-colonial'],1998.0,Muḥammad Mutawallī aš-Šaʿrāwī,62,Ḫawāṭir Muḥammad Mutawallī aš-Šaʿrawī,76
9,['Tunisia'],['Sunni'],['Ashʿariyya'],,['Andalusian'],1401.0,Muḥammad ibn Muḥammad ibn ʿArafa,30,Tafsīr al-imām ʾibn ʿArafa,20
