,id,sentence_text
202,sc.22_37_1_82_140,واشتدّ وصف الخمر بما يوصف به الماء لأنها تجري في الجنة في أنهار كما يجري الماء.
207,sc.22_37_1_82_145,وخص هذا الوصف بالذكر لأنه أعظم المفاسد في شرب الخمر.
211,sc.22_37_1_82_149,وعن بعضهم أن معنى قوله {ولا هم عنها ينزفون} هو أن الشراب لا ينقطع عنهم لئلا يلزم نوع من التكرار.
692,sc.56_37_12_70_68,فنفي الغول عن الخمر نفي مضارها والإِنزاف فسر بالسكر المذهب للعقل وأصله إذهاب الشيء تدريجاً.
693,sc.56_37_12_70_69,ومحصل المعنى أنه ليس فيها مضار الخمر التي في الدنيا ولا إسكارها بإذهاب العقل.
804,sc.9_37_20_49_50,ثم وصف هذه الكأس من الخمر بغير ما يتصف به خمر الدنيا، فقال {لاَ فِيهَا غَوْلٌ} أي لا تغتال عقولهم، فتذهب بها، ولا يصيبهم منها مرض، ولا صداع {وَلاَ هُمْ عَنْهَا يُنزَفُونَ} أي يسكرون، يقال نزف الشارب، فهو منزوف، ونزيف إذا سكر، ومنه قول امرىء القيس وإذا هي تمشي كمشي النزيـ ـف يصرعه بالكثيب البهر وقال أيضاً نزيف إذا قامت لوجه تمايلت ومنه قول الآخر فلثمت فاها آخذاً بقرونها شرب النزيف ببرد ماء الحشرج قال الفراء العرب تقول ليس فيها غيلة، وغائلة، وغول سواء.
809,sc.9_37_20_49_55,قال النحاس والقراءة الأولى أبين، وأصحّ في المعنى لأن معنى {لا ينزفون} عند جمهور المفسرين لا تذهب عقولهم، فنفى الله عزّ وجلّ عن خمر الجنة الآفات التي تلحق في الدنيا من خمرها من الصداع، والسكر.
836,sc.9_37_20_49_82,وأخرج ابن جرير، وابن المنذر، وابن أبي حاتم، والبيهقي في البعث عن ابن عباس في قوله {يُطَافُ عَلَيْهِمْ بِكَأْسٍ مّن مَّعِينٍ} قال الخمر {لاَ فِيهَا غَوْلٌ} قال ليس فيها صداع {وَلاَ هُمْ عَنْهَا يُنزَفُونَ} قال لا تذهب عقولهم.
837,sc.9_37_20_49_83,وأخرج ابن أبي حاتم، وابن مردويه عنه قال في الخمر أربع خصال السكر، والصداع، والقيء، والبول، فنزّه الله خمر الجنة عنها، فقال {لاَ فِيهَا غَوْلٌ} لا تغول عقولهم من السكر {وَلاَ هُمْ عَنْهَا يُنزَفُونَ} قال يقيئون عنها كما يقيء صاحب خمر الدنيا عنها.
838,sc.9_37_20_49_84,وأخرج ابن جرير، عن ابن عباس {لاَ فِيهَا غَوْلٌ} قال هي الخمر ليس فيها وجع بطن.
