,regions,law_schools,theology_schools,exegetical_interests,periods,date,author_name,author_id,tafsir_name,tafsir_id,sc_id
0,Arabian Peninsula,Sunni,"Sunni, undefined",,post-colonial,1973,Muḥammad al-Amīn ibn Muḥammad al-Muḫtār ibn ʿAbd al-Qādir al-Ǧakanī aš-Šanqīṭī,61,Aḍwāʾ al-bayān fī īḍāḥ al-Qurʾān bi-l-Qurʾān,54,sc.54_37_22_26
1,"Andalus, al-",Sunni,"Sunni, undefined",,"Andalusian; early, post-Buyid",1009,Muḥammad ibn ʿAbdallāh ibn Abī Zamanīn,25,Tafsīr al-Qurʾān al-ʿazīz,104,sc.104_37_22_50
2,Iraq,Sunni,Tasawwuf,,post-Mongolian,1166,ʿAbd al-Qādir ibn Abū Ṣālīḥ al-Ǧīlānī,17,Tafsīr al-Ǧīlānī,95,sc.95_37_22_33
3,Egypt,Sunni,"Sunni, undefined",,18th century,1826,Aḥmad ibn Muḥammad aṣ-Ṣāwī,63,Ḥāšīyat aṣ-Ṣāwī ʿalā tafsīr al-Ǧalālayn,96,sc.96_37_19_28
4,"Andalus, al-; Egypt",Sunni,"Sunni, undefined",,Andalusian,1345,Aṯīr ad-Dīn Abū Ḥayyān Muḥammad ibn Yūsuf ibn ʿAlī ibn Ḥayyān al-Andalūsī,2,al-Baḥr al-muḥīṭ,19,sc.19_37_22_39
5,Iran (East),Hanafi,Maturidiyya,,"early, post-Buyid",985,Abū 'l-Layṯ as-Samarqandī,59,Baḥr al-ʿulūm,11,sc.11_37_19_40
6,Iran (West),Jaʿfari,Twelver Shiʿa,,post-colonial,1981,Muḥammad Ḥusayn aṭ-Ṭabāṭabāʾī,74,al-Mīzān fī tafsīr al-Qurʾān,56,sc.56_37_12_70
7,Yemen,Sunni,Athariyya,,18th century,1834,Muḥammad ibn ʿAlī ibn Muḥammad aš-Šawkānī,64,Fatḥ al-qadīr,9,sc.9_37_20_49
8,Morocco,Sunni,Tasawwuf,,18th century,1809,Aḥmad ibn Muḥammad ibn ʿAǧība,27,al-Baḥr al-madīd fī tafsīr al-Qurʾān al-maǧīd,37,sc.37_37_22_34
9,Iran (West),Jaʿfari,Twelver Shiʿa,,pre-Mongolian,1153,al-Faḍl ibn al-Ḥasan aṭ-Ṭabarsī,73,Maǧmaʿ al-bayān fī tafsīr al-Qurʾān,3,sc.3_37_21_30
10,Greater Syria,Sunni,"Sunni, undefined",,post-colonial,2021,Muḥammad ʿAlī aṣ-Ṣābūnī,55,Ṣawfat at-tafāsīr: tafsīr li-l-Qurʾān al-karīm,83,sc.83_37_1_61
11,Anatolia,Sunni,Maturidiyya,,Ottoman,1574,Abū 's-Suʿūd Muḥammad ibn Muḥammad al-ʿImādī,1,Iršād al-ʿaql as-salīm ilā mazāyā al-kitāb al-karīm,28,sc.28_37_23_28
12,Egypt,Sunni,"Sunni, undefined",,post-colonial,2010,Muḥammad Sayyid aṭ-Ṭanṭāwī,76,at-Tafsīr al-wasīṭ li-l-Qurʾān al-Karīm,57,sc.57_37_22_39
13,Yemen,Maliki,Zaydiyya,,Ottoman,1695,Aḥmad ʿAlī Muḥammad ʿAlī al-Aʿqam al-Ānisī,6,Tafsīr al-Aʿqam,47,sc.47_37_11_32
14,Anatolia,Ibadi,Maturidiyya,,Ottoman,1725,Ismāʿīl Ḥaqqī al-Bursawī,35,Rūḥ al-bayān fī tafsīr al-Qurʾān,36,sc.36_37_21_23
15,Iran (West),Jaʿfari,Twelver Shiʿa,,Safavid,1680,Mullā Muḥammad ibn Murtaḍā ibn Maḥmūd al-Kašānī,36,aṣ-Ṣāfī fī tafsīr kalām Allāh al-wāfī,41,sc.41_37_17_37
